xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Reference: Gushchin, E.M., Kruglov, A.A., Obodovskii, I.M., 1982. Electron dynamics in condensed argon and xenon. Soviet Journal of Experimental and Theoretical Physics 55, 650.
DOI: 
URL: https://ui.adsabs.harvard.edu/abs/1982JETP...55..650G/abstract
COMMENTS: Use standard algebra to define units, insite ASCII symbols rather than latex (μs rather than \mu s)
COMMENTS: Use NaN for missing values
COMMENTS: Columns can be either x | y, x | y | y_error, x | x_error | y | y_error
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx

SPECIES: e / Xe
Density: NaN
Pressure: NaN
Temperature: 165 K
Phase: Liquid
Field: NaN
PROCESS: Drift Velocity (cm/s)
COMMENTS: Insert comments as needed
COMMENTS: 1 line per point
COLUMNS: Electric field (V/cm) | Drift Velocity (cm/s)
-----------------------------
10.564234842078797, 31238.777115172932
11.3692674448188, 33126.71177018773
11.970255386497339, 35654.01343207528
12.694479234119298, 37257.59864266278
13.267971502492342, 40101.30806442359
15.144724608334542, 46106.469943504606
16.298806967490904, 48892.942733582604
17.671454552595314, 53398.243492264024
19.018975126764417, 57466.707184753155
20.317949506150292, 60049.468083771426
21.868815161663864, 66070.26702578014
23.53584947955615, 70581.82525729122
24.96039992474948, 74302.22856123206
26.863102149596834, 79375.90006242706
29.123400360459947, 84793.37107582264
32.27314665335579, 88590.43444703832
34.48141020877636, 96048.87357911162
37.65403100864233, 99618.92619794307
40.81941985627357, 104089.64782706599
43.293136875608965, 112027.34655737515
47.27652113139679, 116191.30504074512
51.24842073824417, 119628.39488066746
55.969019241218945, 127789.13484625275
62.0192558695203, 131556.95799928022
68.22034702360881, 134445.03896506046
75.04850590237328, 141509.57093673508
83.1592792566546, 144611.6190450282
91.46979656898117, 145622.71036238567
99.88120965067266, 148824.2330032151
107.4748657106181, 149878.84156351924
113.1321784890868, 150955.08796253658
120.8504721272084, 154288.3205607333
132.93077485458835, 156516.99162381954
145.15146656895223, 158782.8220196861
158.49564008157475, 161081.45388540952
170.54556801085948, 162222.92041102645
186.22429110708504, 164571.35312852287
204.84421467872667, 168184.20188780923
222.04362142385432, 170624.27046725384
244.23926632510415, 173088.9118144962
257.101679644238, 175622.11134943168
274.6421025800513, 179500.01539635815
299.89774172081337, 183446.33229906234
327.33865207145266, 186106.5574414826
355.05321394910493, 187369.9103787136
391.9858365527174, 189973.97753548593
420.6917241251979, 191272.23933812475
459.561082586229, 194630.2259946445
521.9253816483267, 199427.6713132554
574.1840919771527, 202202.3673374137
633.9250441606025, 206475.89224382077
675.5205414243451, 204229.3514225457
727.5970142154745, 209310.76066064625
789.2356969526003, 213750.64167211833
871.3221082503804, 215952.01931498435
951.8269753975326, 219743.2856368383
1036.079949069872, 222019.7762094254
1119.8507689100272, 224326.6183113014
1219.018096198906, 229081.55873868044
1317.535410366591, 229005.54862072217
1419.1053741824012, 234703.41184279163
1566.7561145753987, 239663.84276818763
1705.402250760218, 240430.58675271075
1882.8620352783348, 246386.69746069962
2035.0522094002047, 247182.4066512875
2262.7961221488013, 255106.099811835
2489.3062968247614, 256822.34788548487
2729.0188862479117, 264130.08962696337
2980.927565449264, 262159.2899172762
3338.1389484355354, 273456.7890168808
3685.163578384739, 272370.99312724546
4025.741383979, 279130.98475765233
4444.146896787592, 276052.2830613936
4803.580972276472, 280911.3850679349
5265.8532597481735, 283813.0007912809
5834.048581746484, 285713.7571698178
6395.415495283207, 287640.25974651566
6839.018470457274, 282490.00016821723
7417.885211102933, 282392.00915783347
8017.648121457593, 285326.13415823056
8604.601439518992, 285240.067152361
9234.419767964162, 284141.77122096304
9805.864794693416, 283060.51337874756
-----------------------------

SPECIES: e / Xe
Density: NaN
Pressure: NaN
Temperature: 230 K
Phase: Liquid
Field: NaN
PROCESS: Drift Velocity (cm/s)
COMMENTS: Insert comments as needed
COMMENTS: 1 line per point
COLUMNS: Electric field (V/cm) | Drift Velocity (cm/s)
-----------------------------
10.419735870855138, 73338.51378913787
11.384774303574131, 79559.14172009479
12.133717020429149, 82710.53658244736
12.662288829483215, 89425.12645067001
13.401019601940295, 94637.99622825644
14.282923362620975, 99088.92897711671
14.957189444182502, 105618.40628606276
15.94258487794595, 112970.6830381712
17.052455687962706, 119550.68660484045
18.24000479434923, 127416.96133780161
19.441895521758372, 136772.19374013884
20.793965389611728, 141682.94850628966
21.853653200097643, 153180.40329416184
23.45748858823783, 161524.55497565537
25.180453484209533, 173378.81087289818
27.508219160582804, 178950.14815749152
29.320489684597955, 191407.17208304896
32.03459819665885, 204709.73387781176
34.99796369480525, 215078.3312752283
37.695134576087725, 218867.46469727764
40.751220616736745, 235759.9312795439
45.31273941373496, 245054.18960707466
48.80372976835553, 247604.10009279047
52.19833362869963, 257407.99380064767
57.63126235022455, 265667.49375610665
64.07863659671034, 271274.1629755801
70.99685614882581, 277990.1584481451
78.09935786789447, 274928.18672441633
88.38197627180907, 278719.70690438617
96.8841214215165, 278610.41537098144
107.32716896350968, 271641.67162099155
119.75376209370198, 275404.4844882296
131.26340607434898, 268528.0806460948
138.3939763702506, 260937.228549631
150.11298452283387, 263644.4559349955
163.96767106286302, 260748.36388058533
179.7206545712159, 251539.9780143302
192.890677514736, 256887.24615945306
211.43436157442636, 252260.98777579574
235.88537430154997, 245943.88916446653
261.32897349563615, 244963.64165673056
291.56976566100934, 243979.9403400443
326.4390620875532, 237866.62690374168
360.33816418256663, 229459.39195491286
403.4589697540863, 228534.50375307427
443.8258911457448, 226822.4564644487
489.9205846790492, 219585.06495643753
535.174159719774, 221856.56978003975
570.2513288639458, 214810.02903859413
625.1011379935328, 213963.55273287365
682.8026082298618, 212367.06931742813
826.2226981696756, 205510.3002327458
982.2748936785016, 199598.46343798772
1092.053598177646, 197391.01806035935
1192.8852337914414, 197316.5935192203
1298.4466080465083, 197947.85816631932
1398.2918661389094, 191652.02551919606
1522.0646219329385, 193637.49701174817
1686.3363702013467, 196325.7095965981
1874.8431644251984, 195540.2733898949
2069.770616839606, 195457.70131582848
2221.4193511446497, 198904.16946332034
2522.6466213125927, 198090.4882892248
2895.2418628718615, 197271.20832921242
3162.6372724596667, 198604.35883195524
3418.4639820667994, 202820.19602802425
3747.0580843379003, 198460.61028863618
4180.948620265901, 201926.51982780304
4598.94916505426, 196182.87049370178
5095.357233782018, 199615.02375153126
5725.555026814224, 201655.61139023394
6342.850688175591, 198015.053278536
6977.150538169693, 193755.83053806613
7568.393985009641, 199278.06627798395
8208.810631477503, 197797.1254809319
8967.254842941637, 201269.66342141526
9521.41308599033, 195574.19702508528
-----------------------------

SPECIES: e / Xe
Density: NaN
Pressure: NaN
Temperature: 200 K
Phase: Liquid
Field: NaN
PROCESS: Drift Velocity (cm/s)
COMMENTS: Insert comments as needed
COMMENTS: 1 line per point
COLUMNS: Electric field (V/cm) | Drift Velocity (cm/s)
-----------------------------
10.348631323016775, 54240.58299619077
10.946326624983717, 58052.65565159577
11.57734170183897, 60139.8873362882
12.137183664044503, 62489.424773892606
12.613646588791603, 67283.88594897365
13.302815310268064, 71800.46347094832
14.236595979294044, 74820.39039821136
14.795195434831305, 80084.86876480747
15.880712527253555, 83948.274134621
16.69820660269013, 88005.79909033325
17.506501878606063, 92809.0461718461
18.681164960892826, 98157.52352311724
20.052361098700104, 103811.61745960261
21.02321615809705, 109802.44145046078
22.23491686493654, 113413.69370402115
24.008572311316225, 121014.66489105242
25.391380387342224, 123521.745250416
27.416565060753058, 131410.14859976323
29.168806576969562, 136940.7011713566
30.939773311864815, 139775.96674466014
33.01485732374619, 146522.6372913706
35.43614086233309, 152231.6552885188
37.69950603362715, 156769.12307676827
40.344271779443986, 161437.7774233278
43.43157256899229, 168722.88546321887
46.751158621538686, 171695.7854322057
50.76848465997551, 172144.75538979066
55.2992896185568, 178311.6512969106
60.22933303477133, 179838.41427856896
66.18017815252298, 180834.71622509626
72.08503183852682, 186206.0100160897
75.78647591823011, 187828.69795846846
82.5406588276282, 187760.23901389886
88.32454247804921, 188821.7886388546
97.33556986284137, 188743.4771676802
106.32577764025704, 190357.16798959178
116.48327635404806, 189158.54171191278
126.11728894202302, 187976.91440058552
136.950671335886, 186800.32025590842
152.26139897306575, 186715.8057484845
164.83898060682017, 180131.4058845477
179.52624593504933, 179001.6685858207
195.53137354003036, 180534.33972236264
206.7718382177205, 178364.3331620689
221.2526475933667, 177259.04729181726
234.6615333976913, 175126.20803066963
270.27212048419824, 173986.30256662634
287.5050321963362, 173425.6752208256
305.8453876281913, 174410.56556166697
328.24180422403515, 175394.43466434968
371.4765705515279, 180574.62589797084
395.16241329392295, 179992.76932798378
436.794392446818, 184232.22924143047
474.34601287504483, 186916.59016942012
513.606924048339, 189081.2789873965
564.3635242296887, 191259.01575865957
611.052006444542, 191194.1132635534
681.4074565368643, 194533.61001162016
731.3330751001517, 197963.78383443772
