xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Reference: Shinsaka, K., Codama, M., Srithanratana, T., Yamamoto, M., Hatano, Y., 1988. Electron–ion recombination rate constants in gaseous, liquid, and solid argon. The Journal of Chemical Physics 88, 7529–7536.
DOI: 10.1063/1.454317
COMMENTS: Use standard algebra to define units, insite ASCII symbols rather than latex (μs rather than \mu s)
COMMENTS: Use NaN for missing values
COMMENTS: Columns can be either x | y, x | y | y_error, x | x_error | y | y_error
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx

SPECIES: e / Ar
Density: 2e22 cm^-3
Pressure: NaN
Temperature: 87 K
Phase: Liquid
Field: NaN
PROCESS: Reduced Mobility (cm^-1/V/s)
COMMENTS: Insert comments as needed
COMMENTS: 1 line per point
COLUMNS: Reduced electric field (Td) | Reduced Mobility (cm^-1/V/s)
-----------------------------
0.00011418628556816202, 1.012112516749654e+25
0.00014023377371307638, 9.462349578563275e+24
0.00016584428846219863, 9.70062722346141e+24
0.00019449391693419793, 1.200705255639649e+25
0.00022056771617895405, 1.0324993444767132e+25
0.0002470098532854647, 1.2053086924387494e+25
0.0002983102412009927, 8.876214477600688e+24
0.0003617789102461638, 1.0579773089180217e+25
0.00047513943935476613, 9.249268497442444e+24
0.0005958895145796196, 1.0011741193733421e+25
0.0008334154362163364, 1.0304312378290935e+25
0.0012003439800364285, 9.275103648472924e+24
0.0018028594555057338, 7.455776711215201e+24
0.002407822655546227, 6.600370137308738e+24
0.0035413973865256257, 5.21773892108483e+24
0.004932297472350099, 4.523119068053053e+24
0.005981696093881167, 4.004760943337018e+24
-----------------------------

SPECIES: e / Ar
Density: 2e22 cm^-3
Pressure: NaN
Temperature: 87 K
Phase: Liquid
Field: NaN
PROCESS: Electron-ion recombination (cm^3/s)
COMMENTS: Insert comments as needed
COMMENTS: 1 line per point
COLUMNS: Reduced Electric Field (Td) | Electron-ion Recombination (cm^3/s)
-----------------------------
0.000006231877943131451, 0.00006957327394209353
0.000008902478414656343, 0.000071178543227374
0.000012540071424067066, 0.00008086747136493795
0.00002513189759793419, 0.00009114091921441585
0.00003810072908874803, 0.00011016077951002227
0.0000623575878334479, 0.00010030018222312209
0.0000855699148899625, 0.00010501113585746104
0.00008657167312549154, 0.00010968819599109131
0.00011697574655363531, 0.00012511277586555982
0.00014096689055719498, 0.00011325055606976544
0.00016834211894090209, 0.00009895006681514475
0.00019482400925889025, 0.00012877156538339168
0.0002176368462340452, 0.00013668557349665923
0.0002459225116726392, 0.0001174170465392069
0.0003066268784232465, 0.0001438238864142539
0.0003617227600343925, 0.00016631247794521737
0.00047708921947981153, 0.00018612917088479448
0.0006111971750134292, 0.0002217792873051225
0.0008369874461560957, 0.0002360731180400891
0.0012286161346411785, 0.00019440159951407168
0.0018231581642518904, 0.00013316779712492407
0.002390454651978835, 0.00011092811804008909
0.0035669739603232144, 0.00009624451812107715
-----------------------------
