xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Reference: Yoshino, K., Sowada, U., Schmidt, W.F., 1976. Effect of molecular solutes on the electron drift velocity in liquid Ar, Kr, and Xe. Physical Review A 14, 438–444. 
DOI: 10.1103/PhysRevA.14.438
COMMENTS: Use standard algebra to define units, insite ASCII symbols rather than latex (μs rather than \mu s)
COMMENTS: Use NaN for missing values
COMMENTS: Columns can be either x | y, x | y | y_error, x | x_error | y | y_error
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx

SPECIES: e / Ar
Density: NaN
Pressure: NaN
Temperature: 87 K
Phase: Liquid
Field: NaN
PROCESS: Drift Velocity (cm/s)
COMMENTS: Insert comments as needed
COMMENTS: 1 line per point
COLUMNS: Electric field (V/cm) | Drift Velocity (cm/s)
-----------------------------
99.37593609045801, 42431.01007776403
119.91808830318601, 49480.53657990281
141.908055012844, 60498.84714471435
172.0383240827146, 70407.72561697254
208.97930508440658, 80501.04245924219
249.6025717515151, 92790.04530374531
299.02795597158126, 103278.07879217289
359.13025201143375, 111185.99405142263
419.6215559753258, 120571.6493371078
504.39923147923616, 129231.65347730655
645.4656878732426, 147091.46618908335
865.4548052511293, 168468.743602468
1039.0444679337902, 187085.21995252842
1249.1767769725118, 197026.27829907293
1542.9093722691587, 219128.9793200438
1902.3952498530898, 238524.07941428752
2487.2490718170484, 264077.33185725636
3144.261511412457, 293332.67809324217
3745.777722140987, 306699.6369447503
4691.948553737084, 336393.19205117086
5565.41117713407, 346659.26803901215
6613.667417592404, 374545.2497561938
8152.993024266041, 391556.83152376435
10504.33313103862, 428228.80284885084
13392.069179442296, 462194.79039280146
16511.808319737942, 498854.8711461773
20875.686933850247, 538422.7335292473
24683.630909102674, 576221.3141689777
31207.227050544814, 621925.6802681691
40016.3456173342, 652237.174359231
49868.58224467976, 671255.1970328501
70272.03274690386, 671255.1970328501
87345.81443927306, 671255.1970328501
-----------------------------

SPECIES: e / Xe
Density: NaN
Pressure: NaN
Temperature: 165 K
Phase: Liquid
Field: NaN
PROCESS: Drift Velocity (cm/s)
COMMENTS: Insert comments as needed
COMMENTS: 1 line per point
COLUMNS: Electric field (V/cm) | Drift Velocity (cm/s)
-----------------------------
19.61431783141055, 40742.972149072746
23.59176569409901, 48628.53149694757
28.376460584049713, 58429.32253651794
34.535139210703825, 71107.66125781526
41.74544272032032, 83870.7846395828
50.04238999407518, 99761.97850263066
60.377513553630195, 111550.54460660506
71.4546076185091, 117984.0240409719
87.26825648279808, 123841.17774525672
104.90898911886896, 127692.73279610707
126.59122392026276, 133359.60364932474
152.73736947234724, 135002.94780190062
185.33151752527112, 140247.53779836802
222.79716364059175, 144973.92628723037
270.4341886125012, 149607.7045260796
325.10906409550046, 153462.99979049014
389.2454027925377, 161276.24086861187
465.31418942604716, 165017.30309566992
570.0123406031391, 171138.16385972413
681.2590370722974, 175787.17927929296
801.6450281116452, 180758.21735791914
932.7188521681754, 184347.27234041068
1063.832636252902, 188868.28657313355
1242.7244202140423, 193500.17616318056
1404.4416050589466, 200705.0870368307
1656.8143911327593, 205143.22515808305
2010.7223275664014, 209546.35520835806
2439.889845784007, 219646.9785070403
2933.1169473714945, 226874.2096576512
3526.040714282404, 234158.68261516953
4199.542077666532, 240520.69778420756
4979.315652341595, 248856.18246626965
6125.707959942916, 256653.17322327427
7302.434917470772, 262495.34943706274
9001.053234122193, 266012.34581830766
10837.511958641146, 266306.406821578
12933.243783688282, 269308.7752117576
15606.558477688683, 268725.8583928068
18789.926417921524, 265916.6751134824
22585.869120188494, 266532.30198811134
27148.364416601144, 266326.9348320544
32632.33124203675, 265711.78230721154
39224.388334683776, 265711.78230721154
47268.31047168089, 266326.48952219525
56670.00408225671, 262515.58367531275
68119.57097491677, 264281.9463017095
81880.63451085615, 264485.7365482477
95180.0530543281, 262050.59056644884
-----------------------------

SPECIES: e / Kr
Density: NaN
Pressure: NaN
Temperature: 120 K
Phase: Liquid
Field: NaN
PROCESS: Drift Velocity (cm/s)
COMMENTS: Insert comments as needed
COMMENTS: 1 line per point
COLUMNS: Electric field (V/cm) | Drift Velocity (cm/s)
-----------------------------
29.842966038473225, 40719.948195462566
30.63753676872598, 34159.817582145355
35.83955281190459, 48409.12499942996
42.88999498579426, 57249.39277793724
51.846850824305996, 68322.64920922574
60.81098114287111, 79956.83990560166
75.07246677467714, 94636.55703184329
90.70768360328616, 111727.11166708465
116.1239304381042, 131736.26335627792
136.17070863942772, 143396.2364997891
159.48228248134885, 153503.36207463575
191.75683724121305, 166722.01255229296
230.5631418307152, 181148.7643850043
277.21138805367787, 194611.27726407401
333.32005299052867, 212978.05484424773
400.75839452028373, 228806.03918647632
481.87750323848314, 250979.7109134571
579.3702831530318, 269354.9094861944
693.1163728335157, 290856.044472361
830.575451991109, 313388.32007845
1034.3385529183208, 343488.0260518143
1210.8728072187992, 372135.14141452266
1492.923840409694, 405246.7091241943
1810.0083800270809, 432492.6905324627
2175.9467278433217, 449140.25785439217
2566.2472926097716, 461930.6630694124
3271.9777153755094, 476421.2018385352
3948.76186411454, 474105.2557814738
4777.266811265203, 480292.7757927574
5883.01215407143, 486169.6169626255
7125.575951541045, 487040.6384112828
8579.061355603364, 482519.21313681535
10408.533886319054, 484340.9759950452
12087.609559499444, 476757.94940630894
14442.841868710264, 480030.16360837885
18123.950042986267, 480030.16360837885
21169.770565949333, 480030.16360837885
24363.44876698559, 483208.0730962837
29405.982401321024, 486322.646277749
36155.60770856376, 482519.21313681535
43459.40186493017, 482519.21313681535
51936.2333691107, 482215.5959070871
62790.83444528621, 481404.70734177355
75475.84472582157, 482519.21313681535
89218.14251427786, 482974.01044509566
-----------------------------
