xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Reference: Gushchin EM, Kruglov AA, Obodovskii IM. Electron dynamics in condensed argon and xenon. Soviet Journal of Experimental and Theoretical Physics. 1982 Apr;55:650. 
DOI: 
URL: https://ui.adsabs.harvard.edu/abs/1982JETP...55..650G/abstract
COMMENTS: Use standard algebra to define units, insite ASCII symbols rather than latex (μs rather than \mu s)
COMMENTS: Use NaN for missing values
COMMENTS: Columns can be either x | y, x | y | y_error, x | x_error | y | y_error
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx

SPECIES: e / Xe
Density: NaN
Pressure: NaN
Temperature: 165 K
Phase: Liquid
Field: NaN
PROCESS: Drift Velocity (cm/s)
COMMENTS: Insert comments as needed
COMMENTS: 1 line per point
COLUMNS: Electric field (V/cm) | Drift Velocity (cm/s)
-----------------------------
10372.705109641487, 31.23877711517296
10893.187737081098, 33.12671177018778
11273.764127066894, 35.65401343207533
11724.021143875605, 37.25759864266282
12074.514759244521, 40.10130806442366
13187.857740297055, 46.10646994350465
13849.599376101341, 48.8929427335827
14616.661812469913, 53.398243492264136
15350.578267250703, 57.466707184753275
16041.80567446393, 60.04946808377155
16848.07042713769, 66.0702670257802
17693.7512997873, 70.58182525729129
18400.700631042437, 74.30222856123221
19324.315037470846, 79.37590006242722
20393.638672036694, 84.79337107582282
21838.738145530413, 88.59043444703845
22823.90824642357, 96.04887357911181
24203.285140161577, 99.61892619794313
25541.391382674294, 104.0896478270662
26563.137458025692, 112.02734655737514
28168.49696259383, 116.19130504074523
29724.894680785157, 119.62839488066757
31523.308908451432, 127.78913484625302
33756.00434146411, 131.55695799928048
35970.18041983967, 134.44503896506046
38331.99007524295, 141.50957093673534
41046.28072800352, 144.61161904502836
43737.28380907804, 145.62271036238567
46379.12265744612, 148.8242330032154
48701.0069397796, 149.87884156351953
50395.384920183526, 150.95508796253688
52662.18821792731, 154.2883205607336
56115.61033622653, 156.5169916238197
59504.199733800415, 158.78282201968628
63097.41201681654, 161.08145388540967
66256.26627759771, 162.22292041102662
70257.20790660022, 164.5713531285232
74865.62741936742, 168.1842018878096
78999.71682589286, 170.62427046725418
84180.27195772537, 173.08891181449658
87110.38688772751, 175.6221113494319
91028.64473172592, 179.50001539635835
96526.997373292, 183.44633229906287
102328.87349576448, 186.10655744148283
108026.16670942615, 187.36991037871397
115393.20877756353, 189.9739775354863
120960.24164408844, 191.27223933812516
128300.64190777157, 194.63022599464472
139660.07737176077, 199.42767131325564
148833.525988803, 202.2023673374141
158985.89878161778, 206.475892243821
165866.637199246, 204.22935142254613
174285.2386626805, 209.31076066064625
183994.34699711268, 213.75064167211877
196540.69573684648, 215.9520193149848
208467.6508685678, 219.7432856368385
220594.9228798174, 222.01977620942566
232330.78956450606, 224.32661831130164
245851.82424642245, 229.08155873868066
258925.5241989461, 229.00554862072264
272067.3520779507, 234.70341184279187
290625.86679900315, 239.66384276818812
307527.9226199933, 240.43058675271124
328507.78488756146, 246.3866974607004
345979.5029173471, 247.18240665128803
371333.0606499317, 255.10609981183552
395717.77495330526, 256.8223478854851
420730.852986629, 264.13008962696364
446239.094228567, 262.1592899172767
481211.80557056144, 273.4567890168814
514009.54071241466, 272.37099312724604
545210.1278861886, 279.13098475765264
582360.9830187869, 276.0522830613942
613352.4116639621, 280.9113850679352
652097.4498444129, 283.8130007912812
698200.2942826635, 285.7137571698181
742299.514591098, 287.640259746516
776239.7010286327, 282.49000016821753
819445.4956537853, 282.3920091578338
863040.8013245366, 285.32613415823056
904663.7169555168, 285.2400671523616
948286.8791896605, 284.1417712209636
987015.4114309367, 283.0605133787481
-----------------------------

SPECIES: e / Xe
Density: NaN
Pressure: NaN
Temperature: 230 K
Phase: Liquid
Field: NaN
PROCESS: Drift Velocity (cm/s)
COMMENTS: Insert comments as needed
COMMENTS: 1 line per point
COLUMNS: Electric field (V/cm) | Drift Velocity (cm/s)
-----------------------------
10277.902026181968, 73.33851378913798
10903.09050046204, 79.55914172009496
11376.165673255144, 82.71053658244757
11704.193066981465, 89.42512645067025
12155.100713539297, 94.63799622825658
12682.69078038511, 99.08892897711692
13078.762786188623, 105.61840628606275
13647.061810231899, 112.97068303817132
14273.307419975488, 119.55068660484045
14928.515799512705, 127.41696133780161
15577.307867103722, 136.77219374013913
16291.392655673377, 141.68294850628993
16840.282188609493, 153.18040329416215
17654.456106340713, 161.5245549756557
18508.690707788355, 173.37881087289836
19632.471869010824, 178.95014815749192
20485.542972532745, 191.40717208304915
21730.990439333396, 204.7097338778122
23051.287332062788, 215.07833127522872
24220.8956575942, 218.86746469727808
25512.93452097156, 235.7599312795444
27382.94867301706, 245.05418960707493
28771.908852506036, 247.604100092791
30091.078888092838, 257.40799380064766
32144.407245433278, 265.66749375610715
34499.18549667983, 271.27416297558034
36939.64736769817, 277.99015844814534
39363.91712133152, 274.9281867244169
42747.34428008108, 278.7197069043867
45446.635473524024, 278.610415370982
48656.37865234369, 271.6416716209919
52343.10046473915, 275.40448448822985
55645.38004304927, 268.5280806460953
57642.76327788328, 260.93722854963124
60852.558109059435, 263.6444559349961
64541.46495792953, 260.7483638805859
68611.77600703844, 251.53997801433047
71924.05409712328, 256.88724615945335
76462.83199054006, 252.26098777579628
82249.6406752568, 245.94388916446678
88062.64151651558, 244.96364165673106
94731.62603133389, 243.9799403400448
102141.30781645828, 237.86662690374217
109095.50100746087, 229.45939195491334
117634.01405223084, 228.53450375307474
125355.02730917513, 226.82245646444895
133890.7142085729, 219.58506495643798
142013.65028331726, 221.8565697800402
148153.14347487636, 214.81002903859456
157507.1208969321, 213.9635527328741
167056.52667176773, 212.36706931742856
189698.87174908677, 205.5103002327462
212890.04932790546, 199.59846343798793
228470.06368952937, 197.39101806035976
242325.49494569268, 197.3165935192207
256418.52488667108, 197.94785816631972
269400.59727811214, 191.65202551919626
285072.54594531603, 193.63749701174837
305231.5845184882, 196.3257095965983
327574.40622218844, 195.5402733898951
349903.3857502, 195.4577013158287
366792.4327145297, 198.90416946332056
399243.2771628687, 198.0904882892248
437646.2717572858, 197.2712083292126
464194.0719382127, 198.60435883195564
488900.7148498672, 202.82019602802467
519748.94547038333, 198.4606102886364
559134.839302203, 201.92651982780347
595807.1893947504, 196.18287049370218
637944.7853005015, 199.61502375153168
689517.1330400635, 201.65561139023436
738226.5472997905, 198.01505327853621
786656.9710716496, 193.75583053806653
830492.7036043709, 199.27806627798435
876705.0160733417, 197.7971254809321
929907.3381230296, 201.2696634214157
967834.1414445888, 195.5741970250855
-----------------------------

SPECIES: e / Xe
Density: NaN
Pressure: NaN
Temperature: 200 K
Phase: Liquid
Field: NaN
PROCESS: Drift Velocity (cm/s)
COMMENTS: Insert comments as needed
COMMENTS: 1 line per point
COLUMNS: Electric field (V/cm) | Drift Velocity (cm/s)
-----------------------------
10231.090904862916, 54.24058299619088
10621.330802784516, 58.05265565159583
11025.693133130677, 60.1398873362882
11378.332375862134, 62.4894247738927
11674.1993686821, 67.28388594897379
12095.645250748299, 71.8004634709485
12655.25130136116, 74.82039039821143
12984.15837514409, 80.08486876480764
13611.729902720475, 83.94827413462112
14074.94004113453, 88.00579909033334
14525.561065469099, 92.80904617184629
15168.267193323556, 98.15752352311745
15901.704465466155, 103.81161745960272
16410.914032431552, 109.802441450461
17035.583229957472, 113.41369370402127
17929.887176237808, 121.01466489105266
18611.907028638998, 123.52174525041613
19588.83891606922, 131.4101485997635
20414.83027988285, 136.9407011713566
21233.00286099712, 139.77596674466042
22172.0721513438, 146.52263729137076
23243.290647938404, 152.23165528851897
24222.768199356025, 156.7691230767686
25342.79947221457, 161.4377774233278
26619.733485743152, 168.72288546321886
27959.42606583761, 171.6957854322059
29539.023467100757, 172.14475538979082
31271.331125121676, 178.31165129691095
33103.35686942333, 179.83841427856913
35249.41831020301, 180.83471622509666
37316.14137300481, 186.2060100160901
38582.86516123087, 187.82869795846887
40842.4657966321, 187.76023901389925
42728.82309705099, 188.82178863885497
45587.70373627767, 188.74347716768057
48353.254662964886, 190.3571679895922
51385.71278251003, 189.15854171191296
54181.341155685164, 187.9769144005857
57241.29410466638, 186.80032025590882
61431.795732562, 186.71580574848488
64769.90798430821, 180.1314058845481
68562.28762075794, 179.00166858582088
72578.99786270031, 180.53433972236286
75334.56052939128, 178.36433316206907
78811.99435372828, 177.25904729181744
81964.90430342223, 175.12620803066997
90060.46106556815, 173.98630256662653
93849.1406710438, 173.42567522082595
97799.04717235238, 174.41056556166734
102517.0091274121, 175.39443466434986
111332.24116218498, 180.5746258979712
116015.78582243243, 179.99276932798418
124027.51324819836, 184.23222924143064
131037.87338604168, 186.91659016942032
138172.17053709136, 189.08127898739667
147131.6000284163, 191.25901575865976
155138.21242338317, 191.1941132635538
166828.8877846212, 194.53361001162054
174881.34179206178, 197.96378383443795
184762.6097671767, 199.07050937847947
