xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Reference: Huang, S.S.-S., Freeman, G.R., 1978. Electron mobilities in gaseous, critical, and liquid xenon: Density, electric field, and temperature effects: Quasilocalization. The Journal of Chemical Physics 68, 1355–1362. 
DOI: 10.1063/1.435954
COMMENTS: Use standard algebra to define units, insite ASCII symbols rather than latex (μs rather than \mu s)
COMMENTS: Use NaN for missing values
COMMENTS: Columns can be either x | y, x | y | y_error, x | x_error | y | y_error
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx

SPECIES: e / Xe
Density: 68e20 cm^-3
Pressure: NaN
Temperature: 288 K
Phase: Liquid
Field: NaN
PROCESS: Reduced Mobility (V^-1/s/cm)
COMMENTS: Insert comments as needed
COMMENTS: 1 line per point
COLUMNS: Reduced electric field (V*cm^2) | Reduced Mobility (V^-1/s/cm)
-----------------------------
6.899055756156545e-21, 3.90038967268661e+23
9.290055391768642e-21, 3.7279777449413e+23
1.3865754679324572e-20, 3.690101213507118e+23
1.8458078457082596e-20, 3.609278228754577e+23
2.754831735656102e-20, 3.656105492927649e+23
3.233232299888779e-20, 3.7870537307204345e+23
4.158447033103793e-20, 3.92389309627334e+23
4.556524938208535e-20, 4.206784700759388e+23
5.471068396210879e-20, 4.616892316978302e+23
6.954342800264569e-20, 5.821469611874731e+23
9.252301711362696e-20, 8.052218605773055e+23
1.3807028139262857e-19, 8.843634304185597e+23
1.8810022580679748e-19, 7.444389141147599e+23
2.285709951025233e-19, 5.981283543918768e+23
3.1869942930834334e-19, 4.185610444199984e+23
4.100860331080834e-19, 3.2868042136265065e+23
4.546437776452902e-19, 2.9632831649026347e+23
6.790143956518887e-19, 1.980480195887747e+23
9.043011325214065e-19, 1.4851441582862539e+23
1.3817379174558456e-18, 1.0395992987026952e+23
-----------------------------

SPECIES: e / Xe
Density: 86e20 cm^-3
Pressure: NaN
Temperature: 278 K
Phase: Liquid
Field: NaN
PROCESS: Reduced Mobility (V^-1/s/cm)
COMMENTS: Insert comments as needed
COMMENTS: 1 line per point
COLUMNS: Reduced electric field (V*cm^2) | Reduced Mobility (V^-1/s/cm)
-----------------------------
7.37391708200389e-21, 1.374128745024621e+24
1.087980637349809e-20, 1.4244347217419085e+24
1.4482078726207263e-20, 1.4591213542487983e+24
1.820519647811278e-20, 1.494366698423907e+24
2.1860011287691188e-20, 1.602593035723531e+24
2.5362860356645516e-20, 1.7184601463995113e+24
3.224398100446929e-20, 1.975553508560894e+24
3.656439541074735e-20, 2.11822345627925e+24
4.291083744705051e-20, 2.2978480146096667e+24
4.291083744705051e-20, 2.2978480146096667e+24
5.455806559769811e-20, 2.493372466676608e+24
7.264153850201252e-20, 2.1727126693137517e+24
1.0848868731884819e-19, 1.4689815515661254e+24
1.4449189130136692e-19, 1.0640557064570336e+24
1.817219418713025e-19, 8.259037951888243e+23
2.5923720764957114e-19, 5.847144269012396e+23
3.656241428711577e-19, 4.044903351302884e+23
5.523359870413649e-19, 2.7348833852793266e+23
7.271686400090952e-19, 2.1477665771897302e+23
1.0494071478357109e-18, 1.4187892155591208e+23
1.496898787262552e-18, 1.064181487012998e+23
-----------------------------

SPECIES: e / Xe
Density: 123e20 cm^-3
Pressure: NaN
Temperature: 216 K
Phase: Liquid
Field: NaN
PROCESS: Reduced Mobility (V^-1/s/cm)
COMMENTS: Insert comments as needed
COMMENTS: 1 line per point
COLUMNS: Reduced electric field (V*cm^2) | Reduced Mobility (V^-1/s/cm)
-----------------------------
1.0004975876806381e-21, 7.343369427662758e+25
1.5108973191335753e-21, 6.112607979030504e+25
2.0345276632240573e-21, 5.842407662227264e+25
2.499807553597229e-21, 5.8464332767005615e+25
3.77550750170873e-21, 4.540691503964891e+25
5.085538394575848e-21, 3.6076151007603082e+25
7.68063964264568e-21, 2.8344440579232215e+25
1.0112977643086821e-20, 2.0769019263145354e+25
1.2574012453966658e-20, 1.6119978820311154e+25
1.5278209132197288e-20, 1.3564274471137403e+25
1.7733174523951092e-20, 1.1544600007993027e+25
2.2819446650733574e-20, 8.756767833566735e+24
2.559196744071391e-20, 7.538639827434537e+24
3.039175789242322e-20, 6.416652992088445e+24
3.735496792277106e-20, 5.215634998079498e+24
5.0903248384814014e-20, 3.7782305227338184e+24
7.602443965635679e-20, 2.525141982514094e+24
1.001001862272128e-19, 1.85026486341869e+24
1.258825526335745e-19, 1.5040621307642408e+24
1.775258186734882e-19, 1.1023349811453017e+24
2.258366753121917e-19, 8.55648325822406e+23
2.532463417305011e-19, 7.894863611711492e+23
3.782183548037265e-19, 5.337755498704723e+23
5.036765896487763e-19, 4.143877112077073e+23
7.6090169264748725e-19, 2.7696241471528695e+23
9.90431705951978e-19, 2.0767571123575238e+23
1.2455566924543631e-18, 1.6687869195695525e+23
1.4962402005543153e-18, 1.3880326299719386e+23
1.75657942786113e-18, 1.2090158794505472e+23
1.969925213488271e-18, 1.065159274833098e+23
-----------------------------

SPECIES: e / Xe
Density: 141e20 cm^-3
Pressure: NaN
Temperature: 163 K
Phase: Liquid
Field: NaN
PROCESS: Reduced Mobility (V^-1/s/cm)
COMMENTS: Insert comments as needed
COMMENTS: 1 line per point
COLUMNS: Reduced electric field (V*cm^2) | Reduced Mobility (V^-1/s/cm)
-----------------------------
1.7357485491417222e-21, 2.5714250753889725e+25
2.182358338769471e-21, 2.3735008442143025e+25
3.2951750566443177e-21, 2.166976064776986e+25
4.2394128144013605e-21, 1.866391295739774e+25
6.474440785856676e-21, 1.7641443859953864e+25
8.72145193253946e-21, 1.353886452238302e+25
1.122038344712419e-20, 1.1796346561721516e+25
1.528698129326142e-20, 9.591703173900512e+24
1.9666361705317722e-20, 8.552525946731345e+24
2.2052412745711257e-20, 8.075643085691214e+24
2.7100804524067464e-20, 7.199615622402464e+24
3.2554549792948934e-20, 6.057937577971297e+24
4.38503731790344e-20, 4.813079035796473e+24
6.547838049646788e-20, 3.6106657781197155e+24
8.719811443656818e-20, 2.803079923938257e+24
1.0965105662193089e-19, 2.3589429613762224e+24
1.5287322956135045e-19, 1.748901411432503e+24
1.9896921093383015e-19, 1.3893564156017206e+24
2.205881361246372e-19, 1.252601678960218e+24
3.2567114399380905e-19, 8.869051851284882e+23
4.38698155115082e-19, 6.806522890629735e+23
6.627644593221368e-19, 4.445349273011318e+23
8.725847751844335e-19, 3.4113066982555736e+23
1.0849318783781837e-18, 2.6477028611093623e+23
1.288510180747003e-18, 2.151879881710382e+23
1.5128210725874132e-18, 1.789713755982671e+23
1.735931359958197e-18, 1.5231731602903202e+23
1.9918696460207228e-18, 1.3266255887047203e+23
2.183131133951127e-18, 1.2098952293837675e+23
2.3654913770724936e-18, 1.1162134064238285e+23
2.5925292208218303e-18, 1.041789600740996e+23
-----------------------------
