# Please refer to 10.5281/zenodo.5525214 for details on 
# the dataset and the link to the publication!
#
# >>>Preliminary Dataset<<<
# As the article has not yet been peer-reviewed
# (Data exported on 2021-09-24)
# 
# Electron drift velocity from data using (internal) 222Rn alphas in the
# HeXe setup. Errors include systematic uncertainties! Velocity given in mm/micro second
# And field values in kV/cm. LXe temperature: (174.4 +/- 0.2) K.
# Correspondence can be directed to Florian Joerg (fjoerg@mpi-hd.mpg.de)
# Coloumns are as follows:
# Field [kV/cm],Field_sig,Velocity,Velocity_sig
# 
7.490126e-03,8.498477e-03,1.831680e-01,2.556791e-03
9.281815e-02,6.787171e-03,1.324471e+00,1.629337e-02
3.475781e-01,8.836016e-03,1.647919e+00,2.025399e-02
7.752190e-01,1.740126e-02,1.893950e+00,2.327787e-02
1.141690e-02,8.202202e-03,2.877215e-01,3.536128e-03
1.302860e-01,6.720170e-03,1.417195e+00,1.743257e-02
4.201091e-01,7.717086e-03,1.701007e+00,2.091320e-02
8.811309e-01,2.075115e-02,1.938727e+00,2.382836e-02
2.131356e-02,7.910457e-03,5.413527e-01,6.674248e-03
1.740260e-01,7.583981e-03,1.493947e+00,1.836108e-02
4.977112e-01,1.102441e-02,1.753198e+00,2.154909e-02
9.938396e-01,2.423826e-02,1.979649e+00,2.433140e-02
3.820657e-02,7.576983e-03,8.747367e-01,1.083760e-02
3.820665e-02,7.576982e-03,8.979542e-01,1.106727e-02
2.249793e-01,7.887581e-03,1.545881e+00,1.899924e-02
5.838762e-01,1.184791e-02,1.796380e+00,2.207932e-02
1.113390e+00,2.786585e-02,2.017331e+00,2.479447e-02
6.224852e-02,7.080193e-03,1.146367e+00,1.411488e-02
2.829975e-01,8.282154e-03,1.595094e+00,1.960583e-02
6.760623e-01,1.453520e-02,1.847325e+00,2.270426e-02
1.244860e+00,3.189437e-02,2.054574e+00,2.525340e-02
1.344126e+00,3.454651e-02,2.079393e+00,2.555983e-02
1.443391e+00,3.725751e-02,2.102894e+00,2.584602e-02
1.542657e+00,3.997296e-02,2.124896e+00,2.612513e-02
9.281816e-02,6.787173e-03,1.304543e+00,1.610736e-02
3.475779e-01,8.836011e-03,1.649036e+00,2.026788e-02
7.752190e-01,1.740126e-02,1.894384e+00,2.328515e-02
1.141513e-02,8.202468e-03,2.827406e-01,3.507054e-03
1.302840e-01,6.720195e-03,1.404535e+00,1.729360e-02
1.279296e-02,8.130859e-03,3.435445e-01,4.244045e-03
1.752194e-02,8.018759e-03,4.705949e-01,6.036071e-03
4.201093e-01,7.717089e-03,1.703001e+00,2.093557e-02
8.811309e-01,2.075115e-02,1.938507e+00,2.382688e-02
2.131355e-02,7.910457e-03,5.384225e-01,6.827134e-03
1.740264e-01,7.583982e-03,1.493959e+00,1.836305e-02
4.977112e-01,1.102441e-02,1.753444e+00,2.155299e-02
9.938396e-01,2.423826e-02,1.978527e+00,2.431814e-02
3.820663e-02,7.576982e-03,8.819574e-01,1.087545e-02
2.249792e-01,7.887583e-03,1.543712e+00,1.897558e-02
5.838762e-01,1.184792e-02,1.796503e+00,2.208134e-02
1.113390e+00,2.786585e-02,2.017728e+00,2.479904e-02
6.224855e-02,7.080194e-03,1.149717e+00,1.415170e-02
2.829977e-01,8.282455e-03,1.595984e+00,1.961514e-02
6.760612e-01,1.453517e-02,1.848185e+00,2.271534e-02
1.244860e+00,3.189437e-02,2.054834e+00,2.525467e-02
1.344126e+00,3.454651e-02,2.079000e+00,2.555877e-02
1.279304e-02,8.130845e-03,2.784835e-01,4.270927e-03
1.752192e-02,8.018759e-03,4.397266e-01,5.706660e-03
1.443925e+00,3.687554e-02,2.103134e+00,2.585580e-02
1.543191e+00,3.957010e-02,2.124556e+00,2.612594e-02
1.641922e+00,4.265787e-02,2.145472e+00,2.636951e-02
