# Please refer to 10.5281/zenodo.5525214 for details on 
# the dataset and the link to the publication!
#
# >>>Preliminary Dataset<<<
# As the article has not yet been peer-reviewed
# (Data exported on 2021-09-24)
# 
# Relative charge (QY) and light (LY) yields from internal Kr83m data using the
# HeXe setup. Included (absolute) uncertainties are statistical (stat) and systematic (syst).
# Statistical uncertainties cover one standard deviation.Correspondence can be directed to Florian Joerg (fjoerg@mpi-hd.mpg.de)
# Coloumns are as follows:
# Field [kV/cm],Field_sig,QY(41.5keV),QY_stat(41.5keV),QY_syst(41.5keV),LY(32.1keV),LY_stat(32.1keV),LY_syst(32.1keV),LY(9.4keV),LY_stat(9.4keV),LY_syst(9.4keV)
# 
3.954047e-01,3.177791e-03,2.888542e-01,5.868238e-04,4.504541e-03,7.664051e-01,8.381359e-03,5.363924e-03,9.259312e-01,1.305963e-02,3.854881e-03
4.283217e-01,3.483581e-03,2.895253e-01,3.331314e-04,4.515006e-03,7.507209e-01,7.476124e-03,5.254153e-03,9.095907e-01,1.244374e-02,3.786851e-03
5.682836e-01,4.519856e-03,3.085913e-01,1.510397e-03,4.812330e-03,7.230612e-01,5.733972e-03,5.060568e-03,8.842058e-01,1.308110e-02,3.681168e-03
7.282251e-01,6.068156e-03,3.300805e-01,1.943015e-03,5.147445e-03,7.002668e-01,4.057700e-03,4.901034e-03,8.617419e-01,1.302928e-02,3.587645e-03
9.081615e-01,8.250506e-03,3.473219e-01,2.738913e-03,5.416316e-03,6.806786e-01,2.513188e-03,4.763940e-03,8.374481e-01,1.254664e-02,3.486504e-03
1.005528e+00,9.457582e-03,3.550638e-01,8.109715e-04,5.537048e-03,6.706600e-01,2.588827e-03,4.693822e-03,8.249540e-01,1.258957e-02,3.434488e-03
8.155908e-01,7.114329e-03,3.394413e-01,6.677702e-04,5.293422e-03,6.905947e-01,3.342784e-03,4.833341e-03,8.491916e-01,1.228903e-02,3.535395e-03
6.456517e-01,5.215065e-03,3.259352e-01,1.630987e-03,5.082801e-03,7.160877e-01,4.882416e-03,5.011762e-03,8.773480e-01,1.316031e-02,3.652617e-03
4.956977e-01,3.938045e-03,3.056368e-01,1.920405e-03,4.766257e-03,7.433180e-01,6.048731e-03,5.202341e-03,9.038966e-01,1.461121e-02,3.763146e-03
3.657369e-01,3.210725e-03,2.795265e-01,9.980376e-04,4.359080e-03,7.690111e-01,7.207725e-03,5.382162e-03,9.222980e-01,1.136518e-02,3.839755e-03
2.557663e-01,3.202497e-03,2.523662e-01,1.251127e-03,3.935528e-03,7.968562e-01,7.842122e-03,5.577045e-03,9.372305e-01,1.313662e-02,3.901923e-03
1.657962e-01,3.309041e-03,2.211818e-01,1.654201e-03,3.449222e-03,8.299424e-01,8.522879e-03,5.808609e-03,9.487696e-01,1.325358e-02,3.949963e-03
9.582327e-02,3.561899e-03,1.877369e-01,2.595561e-03,2.927666e-03,8.687236e-01,1.118735e-02,6.080031e-03,9.595596e-01,1.627606e-02,3.994884e-03
4.575986e-02,3.915330e-03,1.513083e-01,4.050788e-03,2.359579e-03,9.211297e-01,1.494981e-02,6.446811e-03,9.718568e-01,1.767884e-02,4.046080e-03
1.582779e-02,4.285070e-03,1.191320e-01,2.987330e-03,1.857806e-03,9.677725e-01,1.579892e-02,6.773256e-03,9.897044e-01,1.613763e-02,4.120385e-03
9.780615e-02,3.478749e-03,1.962126e-01,6.156148e-04,3.059840e-03,8.762485e-01,1.351997e-02,6.132697e-03,9.737829e-01,1.971900e-02,4.054100e-03
6.757020e-02,3.578582e-03,1.769009e-01,5.773273e-04,2.758684e-03,9.071193e-01,1.647968e-02,6.348755e-03,9.864709e-01,2.153337e-02,4.106923e-03
3.735667e-02,3.731424e-03,1.484964e-01,9.179957e-04,2.315730e-03,9.490041e-01,1.933203e-02,6.641899e-03,9.974904e-01,2.185760e-02,4.152800e-03
1.729268e-02,3.929893e-03,1.235936e-01,7.126902e-04,1.927382e-03,9.831835e-01,1.954674e-02,6.881114e-03,1.009050e+00,2.360165e-02,4.200926e-03
1.232651e-02,4.039226e-03,1.208815e-01,1.870812e-03,1.885088e-03,9.950125e-01,2.224049e-02,6.963903e-03,1.017574e+00,2.351726e-02,4.236411e-03
2.730498e-02,3.810023e-03,1.371148e-01,1.539640e-03,2.138238e-03,9.642589e-01,1.949307e-02,6.748665e-03,1.000194e+00,2.301907e-02,4.164055e-03
5.245770e-02,3.644549e-03,1.631886e-01,1.199575e-03,2.544846e-03,8.968616e-01,2.165977e-02,6.276963e-03,9.530971e-01,2.889227e-02,3.967980e-03
8.268665e-02,3.523519e-03,1.857465e-01,7.957470e-04,2.896627e-03,8.841834e-01,1.497177e-02,6.188231e-03,9.723305e-01,2.033785e-02,4.048053e-03
1.480167e-01,3.340577e-03,2.217024e-01,1.099786e-03,3.457342e-03,8.363157e-01,1.188762e-02,5.853214e-03,9.552557e-01,1.592073e-02,3.976966e-03
3.957243e-01,3.312595e-03,2.879401e-01,2.384678e-03,4.490286e-03,7.559864e-01,8.515559e-03,5.291005e-03,9.123785e-01,1.769957e-02,3.798458e-03
1.057260e+00,9.948539e-03,3.751934e-01,4.457329e-03,5.850959e-03,6.724217e-01,4.018660e-03,4.706152e-03,8.285591e-01,1.880182e-02,3.449497e-03
1.158030e+00,1.088554e-02,3.787448e-01,2.966528e-03,5.906341e-03,6.657166e-01,5.206935e-03,4.659224e-03,8.157541e-01,1.111794e-02,3.396186e-03
1.258801e+00,1.181407e-02,3.745784e-01,1.009946e-03,5.841368e-03,6.546683e-01,3.447703e-03,4.581899e-03,8.022651e-01,1.450240e-02,3.340028e-03
3.957292e-01,3.314267e-03,2.761539e-01,1.561648e-03,4.306486e-03,7.539856e-01,7.483444e-03,5.277002e-03,9.107899e-01,1.286865e-02,3.791844e-03
