# Please refer to 10.5281/zenodo.5525214 for details on 
# the dataset and the link to the publication!
#
# >>>Preliminary Dataset<<<
# As the article has not yet been peer-reviewed
# (Data exported on 2021-09-24)
# 
# Relative charge (QY) and light (LY) yields from internal Rn222 data using the
# HeXe setup. Included (absolute) uncertainties are statistical (stat) and systematic (syst).
# Statistical uncertainties cover one standard deviation.Correspondence can be directed to Florian Joerg (fjoerg@mpi-hd.mpg.de)
# Coloumns are as follows:
# Field [kV/cm],Field_sig,QY(222Rn),QY_stat(222Rn),QY_syst(222Rn),LY(222Rn),LY_stat(222Rn),LY_syst(222Rn),QY(218Po),QY_stat(218Po),QY_syst(218Po),LY(218Po),LY_stat(218Po),LY_syst(218Po),QY(214Po),QY_stat(214Po),QY_syst(214Po),LY(214Po),LY_stat(214Po),LY_syst(214Po)
# 
6.481815e-03,4.318670e-03,9.190030e-04,8.861600e-07,1.317190e-04,1.071903e+00,5.359513e-04,1.479707e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.209261e-02,3.515483e-03,3.559047e-03,1.012335e-06,5.016240e-04,9.954614e-01,4.977307e-04,6.716336e-03,3.558822e-03,1.278858e-06,5.013545e-04,9.956744e-01,4.978372e-04,6.713032e-03,3.468947e-03,1.700258e-05,4.926404e-04,9.858929e-01,2.873328e-03,5.353065e-03
3.501374e-01,3.222564e-03,7.288281e-03,1.665467e-06,1.027766e-03,9.883829e-01,4.941915e-04,6.270855e-03,7.369318e-03,2.383130e-06,1.038966e-03,9.888419e-01,4.944210e-04,7.050684e-03,7.754658e-03,1.789417e-05,1.093887e-03,9.865279e-01,2.652599e-03,9.358366e-03
7.825998e-01,6.017445e-03,1.067654e-02,2.473945e-06,1.505398e-03,9.850899e-01,4.925450e-04,6.825978e-03,1.085035e-02,4.053681e-06,1.529986e-03,9.853002e-01,4.926501e-04,7.116484e-03,1.163411e-02,2.756625e-05,1.640221e-03,9.855137e-01,2.736042e-03,9.827095e-03
1.026912e-02,4.110316e-03,1.338415e-03,1.432229e-06,2.681639e-04,1.035942e+00,5.179711e-04,1.638973e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.299034e-01,3.413120e-03,4.317841e-03,1.134692e-06,6.091784e-04,9.933638e-01,4.966819e-04,5.874068e-03,4.331383e-03,1.546232e-06,6.115553e-04,9.936745e-01,4.968373e-04,6.944151e-03,4.379578e-03,1.387803e-05,6.199857e-04,9.973584e-01,2.317259e-03,9.196585e-03
4.225516e-01,3.067503e-03,7.966502e-03,1.720490e-06,1.123169e-03,9.900558e-01,4.950279e-04,6.413087e-03,8.062187e-03,2.620714e-06,1.136472e-03,9.902407e-01,4.951203e-04,6.756933e-03,8.541622e-03,2.078871e-05,1.204595e-03,9.907702e-01,2.612346e-03,8.179203e-03
8.899851e-01,7.304350e-03,1.135910e-02,2.426071e-06,1.601976e-03,9.869482e-01,4.934741e-04,6.930160e-03,1.155711e-02,3.966043e-06,1.629864e-03,9.868444e-01,4.934222e-04,7.221641e-03,1.232724e-02,2.848506e-05,1.739081e-03,9.877362e-01,2.688442e-03,4.890854e-03
2.012564e-02,3.885846e-03,1.819592e-03,1.392532e-06,2.809503e-04,1.013173e+00,5.065864e-04,8.901784e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.744938e-01,3.196547e-03,5.091852e-03,1.370217e-06,7.179526e-04,9.930618e-01,4.965309e-04,6.826495e-03,5.126192e-03,1.822250e-06,7.225116e-04,9.930337e-01,4.965168e-04,7.323115e-03,5.247623e-03,1.373309e-05,7.402877e-04,9.954005e-01,2.090595e-03,6.057272e-03
