xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Reference: Walkowiak, W., 2000. Drift velocity of free electrons in liquid argon. Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment 449, 288–294. 
DOI: 10.1016/S0168-9002(99)01301-7
COMMENTS: Use standard algebra to define units, insite ASCII symbols rather than latex (μs rather than \mu s)
COMMENTS: Use NaN for missing values
COMMENTS: Columns can be either x | y, x | y | y_error, x | x_error | y | y_error
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx

SPECIES: e / Ar
Density: NaN
Pressure: NaN
Temperature: 87 K
Phase: Liquid
Field: NaN
PROCESS: Drift Velocity
COLUMNS: Electric field (kV/cm) | Drift Velocity (mm/μs)
-----------------------------
0.5012787723785168, 1.6068866571018656
0.7340153452685425, 1.901004304160689
0.9667519181585673, 2.1090387374461983
1.2531969309462911, 2.295552367288379
1.4880884721038177, 2.458386471119613
1.7263782324524017, 2.591230936819172
1.9853888415269498, 2.724075402518731
2.2340390262385146, 2.8527684786651784
2.482689210950081, 2.9731587757054037
2.7416998200246283, 3.0644893458738505
2.9799895803732124, 3.1558199160422973
3.249360613810742, 3.247150486210744
3.487650374159326, 3.3509352250385245
3.7466609832338733, 3.43811440565386
3.974590319219475, 3.5045366385036396
4.730901297717154, 3.6955005579467555
5.518293549303779, 3.9487353206865397
6.3160462252533875, 4.110639513257877
7.103438476840012, 4.293300653594771
7.880470304063655, 4.421993729741218
8.678222980013262, 4.592200701418778
9.455254807236905, 4.712590998459004
10.253007483186511, 4.828829905946118
11.040399734773136, 4.907706307455231
11.827791986359761, 4.999036877623678
12.615184237946385, 5.073761889579679
-----------------------------

SPECIES: e / Ar
Density: NaN
Pressure: NaN
Temperature: 89.8 K
Phase: Liquid
Field: NaN
PROCESS: Drift Velocity
COLUMNS: Electric field (kV/cm) | Drift Velocity (mm/μs)
-----------------------------
0.48312730889457267, 1.5201724321164773
0.7214170692431567, 1.7941641426218178
0.9907881026806864, 2.0058850098304895
1.239438287392252, 2.1760919815080495
1.4880884721038177, 2.329693394973165
1.7470990811783658, 2.4708406397789466
1.9853888415269498, 2.595382326372283
2.2547598749644795, 2.719924012965619
2.482689210950081, 2.815405972687177
2.7520602443876108, 2.9150393219618462
2.990350004736194, 3.0105212816834044
3.2390001894477605, 3.093549072745629
3.487650374159326, 3.1848796429140753
3.757021407596855, 3.2637560444231886
3.9849507435824574, 3.3301782772729682
4.720540873354173, 3.5585047026940853
5.507933124940798, 3.741165843030979
6.305685800890405, 3.9072214251554276
7.093078052477029, 4.05252005951432
7.890830728426636, 4.2102728625325465
8.667862555650279, 4.338965938678994
9.465615231599886, 4.455204846166108
10.253007483186511, 4.550686805887667
11.040399734773136, 4.646168765609224
11.838152410722742, 4.737499335777671
12.615184237946385, 4.828829905946118
-----------------------------

SPECIES: e / Ar
Density: NaN
Pressure: NaN
Temperature: 93.9 K
Phase: Liquid
Field: NaN
PROCESS: Drift Velocity
COLUMNS: Electric field (kV/cm) | Drift Velocity (mm/μs)
-----------------------------
0.4934877332575547, 1.4039335246293634
0.7421379179691208, 1.6613196769222585
0.9907881026806864, 1.8605863754715974
1.239438287392252, 2.014187788936712
1.4880884721038177, 2.155335033742494
1.7470990811783658, 2.2881794994420526
1.9853888415269498, 2.4002670173760556
2.244399450601497, 2.504051756203836
2.4930496353130627, 2.616139274137839
2.7416998200246283, 2.703318454753174
3.0007104290991764, 2.79049763536851
3.2390001894477605, 2.873525426430734
3.4772899497963436, 2.9524018279398474
3.7466609832338733, 3.0312782294489606
3.9849507435824574, 3.093549072745629
4.730901297717154, 3.3011185504011897
5.507933124940798, 3.47132552207875
6.305685800890405, 3.649835272862532
7.093078052477029, 3.8117394654338694
7.880470304063655, 3.91552420426165
8.678222980013262, 4.069125617726765
9.465615231599886, 4.164607577448323
10.263367907549492, 4.2683923162761035
11.040399734773136, 4.355571496891439
11.827791986359761, 4.42614511929433
12.615184237946385, 4.52992985812211
-----------------------------
